Host Id,Host Since,Name,Neighbourhood ,Property Type,Review Bins,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
23248648,2014-11-02 00:00:00,NO LONGER BOOKING RESERVATIONS,Manhattan,Apartment,N,95,Entire home/apt,10025,2,1,21,10000,95
213266,2010-08-26 00:00:00,Beautiful 1 Bedroom in Nolita/Soho,Manhattan,Apartment,J,75,Entire home/apt,10012,2,1,2,5000,76
2675644,2012-06-18 00:00:00,Turn of the Century Film Location,Staten Island,House,C,40,Entire home/apt,10301,12,1,1,5000,40
1177497,2011-09-18 00:00:00,Photography Location,Brooklyn,House,O,100,Entire home/apt,11205,5,1,3,4500,100
31433828,2015-04-18 00:00:00,1.5 month lease near Lincoln Center,Manhattan,Apartment,O,100,Entire home/apt,10023,1,1,1,3500,100
36538690,2015-06-23 00:00:00,Park Slope Brooklyn for July,Brooklyn,Apartment,O,100,Entire home/apt,11215,3,1,1,3100,100
8503180,2013-08-28 00:00:00,East Village Townhouse,Manhattan,House,O,100,Entire home/apt,10003,4,1,3,3000,100
904192,2011-08-01 00:00:00,"FAMOUS SOHO ""MERCER ST."" PENTHOUSE!",Manhattan,Apartment,N,95,Entire home/apt,10012,6,1,17,2750,95
5907325,2013-04-13 00:00:00,"Luxury 6BR Townhouse, Upper East",Manhattan,House,O,100,Entire home/apt,10021,6,1,14,2520,100
12116715,2014-02-10 00:00:00,Culinary Event and Meeting Space,Manhattan,Loft,O,100,Entire home/apt,10013,1,1,1,2500,100
4751930,2013-01-18 00:00:00,Spectacular Former Synagogue,Manhattan,Townhouse,L,85,Entire home/apt,10009,3,1,3,2500,87
8040427,2013-08-09 00:00:00,Amazing 2800 sqf Tribeca Loft,Manhattan,Apartment,O,100,Entire home/apt,10013,6,1,1,2295,100
8730,2009-02-27 00:00:00,Comfort & Convenience,Manhattan,Condominium,O,100,Entire home/apt,10003,6,1,4,1990,100
11786734,2014-01-30 00:00:00,Stunning 2600ft full floor LOFT,Manhattan,Apartment,O,100,Entire home/apt,10011,3,1,1,1850,100
22443451,2014-10-12 00:00:00,26th Fl Manhattan Dream Apartment,Manhattan,Apartment,O,100,Entire home/apt,10128,2,1,1,1750,100
23564279,2014-11-10 00:00:00,Stunning Soho loft,Manhattan,Apartment,O,100,Entire home/apt,10013,2,1,1,1600,100
2394987,2012-05-17 00:00:00,Magnificent 3 Bedroom Penthouse,Manhattan,Apartment,O,100,Entire home/apt,10018,3,1,3,1500,100
6250301,2013-05-06 00:00:00,Amazing two floor Penthouse,Manhattan,Apartment,O,100,Entire home/apt,10006,3,1,1,1500,100
673406,2011-06-07 00:00:00,A Little Palace in a Brooklyn Loft!,Brooklyn,Loft,N,95,Entire home/apt,11237,3,1,26,1500,99
319077,2010-12-14 00:00:00,HUGE loft for film & photoshoots,Brooklyn,Loft,N,95,Entire home/apt,11238,4,1,6,1500,97
16903170,2014-06-17 00:00:00,Super Luxury Townhouse-Sleeps 16!!,Manhattan,House,N,95,Entire home/apt,10028,16,1,48,1500,96
26900762,2015-01-29 00:00:00,Large Groups/7BR/4BA Home/$1500/USD,Brooklyn,House,O,100,Entire home/apt,11205,16,1,2,1500,100
19285185,2014-08-01 00:00:00,Party/Event Loft 3000SQ FT Brooklyn,Brooklyn,Loft,O,100,Entire home/apt,11205,3,1,10,1499,100
2570750,2012-06-07 00:00:00,NEW YORK CENTRAL PARK AMAZING VIEWS,Manhattan,Apartment,M,90,Entire home/apt,10019,2,1,7,1495,93
5720429,2013-04-01 00:00:00,"Gorgeous 3,000sf Loft/Event Space",Manhattan,Loft,N,95,Entire home/apt,10016,5,1,18,1400,96
605463,2011-05-19 00:00:00,HUGE 6 bedroom Landmark house NYC,Manhattan,House,L,85,Entire home/apt,10014,6,1,19,1300,88
391612,2011-02-14 00:00:00,"Victorian House, Express + More!",Brooklyn,House,N,95,Entire home/apt,11226,8,1,6,1300,97
462379,2011-03-25 00:00:00,Beautiful eco triplex w/ green roof,Brooklyn,House,M,90,Entire home/apt,11231,5,1,30,1239,94
6539320,2013-05-23 00:00:00,GALLERY LOFT SPACE/ EVENT RENTAL,Manhattan,Other,O,100,Entire home/apt,10001,1,1,3,1200,100
19117618,2014-07-29 00:00:00,Incredible 2 Story Maisonette,Manhattan,Townhouse,O,100,Entire home/apt,10021,5,1,1,1200,100
21704441,2014-09-23 00:00:00,Auberge 347,Manhattan,House,N,95,Entire home/apt,10065,8,1,26,1200,97
25145042,2014-12-23 00:00:00,CENTRAL PARK VIEWS! 5 star Hotel!,Manhattan,Apartment,O,100,Entire home/apt,10019,2,1,1,1195,100
